Competition,Team,Opponent,HT goals for,HT goals against,HT goal difference,HT state,FT goals for,FT goals against,FT goal difference,FT result,1H Possession %,1H Possession difference %,1H Shots,1H Shots on target,1H Shots off target,1H Blocked shots,1H Shots inside box,1H Passes attempted,1H Passes completed,1H Pass accuracy %,1H Corners,1H Free kicks,1H Tackles,1H Tackles won,1H Interceptions,1H Clearances,1H Saves,1H Fouls,1H Yellow cards,1H Red cards,1H Offsides,2H Possession %,2H Possession difference %,2H Shots,2H Shots on target,2H Shots off target,2H Blocked shots,2H Shots inside box,2H Passes attempted,2H Passes completed,2H Pass accuracy %,2H Corners,2H Free kicks,2H Tackles,2H Tackles won,2H Interceptions,2H Clearances,2H Saves,2H Fouls,2H Yellow cards,2H Red cards,2H Offsides
Champions League,Manchester United,Barcelona,1,1,0,Drawing,1,3,-2,Losing,31.16,-37.68,2,1,0,1,1,196,139,70.92,0,2,15,9,8,6,0,5,0,0,4,33.56,-32.88,2,0,2,0,0,199,163,81.91,0,4,7,5,14,5,0,12,1,0,2
Champions League,Barcelona,Manchester United,1,1,0,Drawing,3,1,2,Winning,68.84,37.68,10,3,4,3,5,433,387,89.38,1,9,7,3,3,3,0,2,0,0,0,66.44,32.88,12,8,0,4,5,394,344,87.31,5,13,6,6,3,3,0,3,2,0,1
FIFA World Cup,South Korea,Brazil,0,4,-4,Losing,1,4,-3,Losing,43.12,-13.76,4,3,1,0,1,260,225,86.54,2,3,10,7,13,6,0,6,1,0,3,49.75,-0.51,4,3,1,0,3,295,251,85.08,2,5,10,7,9,9,0,6,0,0,2
FIFA World Cup,Brazil,South Korea,4,0,4,Winning,4,1,3,Winning,56.88,13.76,10,6,4,0,8,343,305,88.92,2,8,12,9,2,4,0,3,0,0,0,50.25,0.51,8,4,2,2,6,298,261,87.58,3,7,8,3,6,6,0,5,0,0,0
FIFA World Cup,Qatar,Senegal,0,1,-1,Losing,1,3,-2,Losing,38.25,-23.51,2,0,1,1,0,192,149,77.6,1,7,12,4,5,18,0,6,2,0,1,52.31,4.63,8,3,3,2,5,260,213,81.92,5,8,9,4,5,6,0,5,1,0,3
FIFA World Cup,Senegal,Qatar,1,0,1,Winning,3,1,2,Winning,61.75,23.51,6,2,4,0,4,310,263,84.84,2,6,6,4,2,8,0,4,1,0,3,47.69,-4.63,6,2,2,2,6,237,199,83.97,4,5,4,3,4,11,0,9,2,0,0
UEFA Euro,Turkey,Italy,0,0,0,Drawing,0,2,-2,Losing,33.39,-33.22,0,0,0,0,0,192,143,74.48,0,5,7,3,23,8,0,2,0,0,2,40.91,-18.18,3,0,1,2,3,198,164,82.83,2,7,8,5,6,13,0,12,2,0,0
UEFA Euro,Italy,Turkey,0,0,0,Drawing,2,0,2,Winning,66.61,33.22,14,3,8,3,8,383,335,87.47,3,3,4,3,8,12,0,4,0,0,1,59.09,18.18,10,5,3,2,7,286,242,84.62,5,9,6,4,10,6,0,5,0,0,3
Champions League,Real Madrid,Atlético Madrid,0,1,-1,Losing,1,1,0,Drawing,62.05,24.1,2,1,1,0,1,309,248,80.26,2,11,5,4,1,14,0,10,2,0,0,60.67,21.34,10,2,6,2,7,307,239,77.85,5,12,5,2,5,8,0,6,0,0,0
Champions League,Atlético Madrid,Real Madrid,1,0,1,Winning,1,1,0,Drawing,37.95,-24.1,5,1,3,1,3,189,127,67.2,3,8,13,7,2,4,0,10,1,0,2,39.33,-21.34,4,1,1,2,2,199,121,60.8,5,5,16,11,2,16,0,11,4,0,2
FIFA World Cup,France,Brazil,1,2,-1,Losing,2,5,-3,Losing,46.4,-7.2,8,2,4,2,3,187,125,66.84,2,6,23,8,9,16,0,5,0,0,3,44.03,-11.93,7,5,2,0,2,203,137,67.49,3,11,21,13,6,9,0,4,0,0,0
FIFA World Cup,Brazil,France,2,1,1,Winning,5,2,3,Winning,53.6,7.2,19,6,8,5,13,216,149,68.98,5,5,14,11,8,16,0,8,0,0,2,55.97,11.93,22,10,6,6,13,258,211,81.78,3,1,15,9,8,16,0,10,0,0,2
UEFA Women's Euro,Portugal Women's,Sweden Women's,0,2,-2,Losing,0,4,-4,Losing,41.67,-16.67,4,2,2,0,2,140,93,66.43,1,8,9,2,9,17,0,5,0,0,1,50.79,1.59,3,0,3,0,2,192,152,79.17,1,5,10,7,8,10,0,6,1,0,0
UEFA Women's Euro,Sweden Women's,Portugal Women's,2,0,2,Winning,4,0,4,Winning,58.33,16.67,8,4,2,2,7,196,130,66.33,5,6,12,7,5,4,0,6,2,0,2,49.21,-1.59,8,5,2,1,8,186,132,70.97,2,5,15,12,5,5,0,4,0,0,2
UEFA Europa League,Bayern Munich,Napoli,0,1,-1,Losing,0,2,-2,Losing,57.96,15.91,6,2,4,0,2,244,202,82.79,5,12,10,5,4,23,0,8,0,0,1,66.58,33.16,5,0,2,3,3,255,211,82.75,3,10,10,4,1,11,0,8,1,0,0
